fecha,casos,TAR,muertes,vacunados_1,vacunados_2
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,1,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,1,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,1,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,1,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,2,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,1,0,0,0,0
2020-02-19,1,0,0,0,0
2020-02-20,1,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,1,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,2,0,0,0,0
2020-02-26,6,0,0,0,0
2020-02-27,2,0,0,0,0
2020-02-28,7,0,0,0,0
2020-02-29,4,0,0,0,0
2020-03-01,7,0,0,0,0
2020-03-02,11,0,0,0,0
2020-03-03,9,0,0,0,0
2020-03-04,16,0,0,0,0
2020-03-05,16,0,0,0,0
2020-03-06,23,0,0,0,0
2020-03-07,19,0,0,0,0
2020-03-08,33,0,0,0,0
2020-03-09,46,0,0,0,0
2020-03-10,50,0,0,0,0
2020-03-11,59,0,0,0,0
2020-03-12,72,0,0,0,0
2020-03-13,107,0,0,0,0
2020-03-14,96,0,0,0,0
2020-03-15,99,0,0,0,0
2020-03-16,131,0,0,0,0
2020-03-17,101,0,0,0,0
2020-03-18,116,0,0,0,0
2020-03-19,75,0,0,0,0
2020-03-20,121,0,0,0,0
2020-03-21,75,0,0,0,0
2020-03-22,73,0,0,0,0
2020-03-23,99,0,0,0,0
2020-03-24,54,0,0,0,0
2020-03-25,57,0,0,0,0
2020-03-26,63,0,0,0,0
2020-03-27,66,0,0,0,0
2020-03-28,38,0,0,0,0
2020-03-29,38,0,0,0,0
2020-03-30,57,0,0,0,0
2020-03-31,22,0,0,0,0
2020-04-01,58,0,0,0,0
2020-04-02,30,0,0,0,0
2020-04-03,17,0,0,0,0
2020-04-04,26,0,0,0,0
2020-04-05,14,0,0,0,0
2020-04-06,21,0,0,0,0
2020-04-07,17,0,0,0,0
2020-04-08,12,0,0,0,0
2020-04-09,21,0,0,0,0
2020-04-10,14,0,0,0,0
2020-04-11,13,0,0,0,0
2020-04-12,8,0,0,0,0
2020-04-13,10,0,0,0,0
2020-04-14,14,0,0,0,0
2020-04-15,15,0,0,0,0
2020-04-16,13,0,0,0,0
2020-04-17,12,0,0,0,0
2020-04-18,9,0,0,0,0
2020-04-19,12,0,0,0,0
2020-04-20,14,0,0,0,0
2020-04-21,7,0,0,0,0
2020-04-22,6,0,0,0,0
2020-04-23,2,0,0,0,0
2020-04-24,8,0,0,0,0
2020-04-25,4,0,0,0,0
2020-04-26,2,0,0,0,0
2020-04-27,3,0,0,0,0
2020-04-28,3,0,0,0,0
2020-04-29,4,0,0,0,0
2020-04-30,6,0,0,0,0
2020-05-01,8,0,0,0,0
2020-05-02,5,0,0,0,0
2020-05-03,0,0,0,0,0
2020-05-04,3,0,0,0,0
2020-05-05,2,0,0,0,0
2020-05-06,0,0,0,0,0
2020-05-07,0,0,0,0,0
2020-05-08,1,0,0,0,0
2020-05-09,3,0,0,0,0
2020-05-10,0,0,0,0,0
2020-05-11,3,0,0,0,0
2020-05-12,4,0,0,0,0
2020-05-13,5,0,0,0,0
2020-05-14,2,0,0,0,0
2020-05-15,3,0,0,0,0
2020-05-16,6,0,0,0,0
2020-05-17,1,0,0,0,0
2020-05-18,4,0,0,0,0
2020-05-19,7,0,0,0,0
2020-05-20,4,0,0,0,0
2020-05-21,5,0,0,0,0
2020-05-22,3,0,0,0,0
2020-05-23,1,0,0,0,0
2020-05-24,2,0,0,0,0
2020-05-25,4,0,0,0,0
2020-05-26,3,0,0,0,0
2020-05-27,2,0,0,0,0
2020-05-28,7,0,0,0,0
2020-05-29,7,0,0,0,0
2020-05-30,3,0,0,0,0
2020-05-31,1,0,0,0,0
2020-06-01,4,0,0,0,0
2020-06-02,4,0,0,0,0
2020-06-03,4,0,0,0,0
2020-06-04,1,0,0,0,0
2020-06-05,1,0,0,0,0
2020-06-06,4,0,0,0,0
2020-06-07,1,0,0,0,0
2020-06-08,2,0,0,0,0
2020-06-09,2,0,0,0,0
2020-06-10,1,0,0,0,0
2020-06-11,2,0,0,0,0
2020-06-12,4,0,0,0,0
2020-06-13,2,0,0,0,0
2020-06-14,1,0,0,0,0
2020-06-15,1,0,0,0,0
2020-06-16,2,0,0,0,0
2020-06-17,14,0,0,0,0
2020-06-18,0,0,0,0,0
2020-06-19,1,0,0,0,0
2020-06-20,11,0,0,0,0
2020-06-21,2,0,0,0,0
2020-06-22,0,0,0,0,0
2020-06-23,6,0,0,0,0
2020-06-24,1,0,0,0,0
2020-06-25,1,0,0,0,0
2020-06-26,1,0,0,0,0
2020-06-27,0,0,0,0,0
2020-06-28,0,0,0,0,0
2020-06-29,0,0,0,0,0
2020-06-30,5,0,0,0,0
2020-07-01,7,0,0,0,0
2020-07-02,1,0,0,0,0
2020-07-03,4,0,0,0,0
2020-07-04,4,0,0,0,0
2020-07-05,1,0,0,0,0
2020-07-06,3,0,0,0,0
2020-07-07,4,0,0,0,0
2020-07-08,8,0,0,0,0
2020-07-09,8,0,0,0,0
2020-07-10,3,0,0,0,0
2020-07-11,1,0,0,0,0
2020-07-12,3,0,0,0,0
2020-07-13,6,0,0,0,0
2020-07-14,2,0,0,0,0
2020-07-15,9,0,0,0,0
2020-07-16,4,0,0,0,0
2020-07-17,7,0,0,0,0
2020-07-18,13,0,0,0,0
2020-07-19,53,0,0,0,0
2020-07-20,3,0,0,0,0
2020-07-21,11,0,0,0,0
2020-07-22,8,0,0,0,0
2020-07-23,11,0,0,0,0
2020-07-24,6,1,0,0,0
2020-07-25,13,0,0,0,0
2020-07-26,7,0,0,0,0
2020-07-27,9,0,0,0,0
2020-07-28,9,0,0,0,0
2020-07-29,6,0,0,0,0
2020-07-30,12,0,0,0,0
2020-07-31,16,0,0,0,0
2020-08-01,30,0,0,0,0
2020-08-02,29,0,0,0,0
2020-08-03,38,0,0,0,0
2020-08-04,54,0,0,0,0
2020-08-05,73,1,0,0,0
2020-08-06,77,0,0,0,0
2020-08-07,69,0,0,0,0
2020-08-08,68,0,0,0,0
2020-08-09,89,0,0,0,0
2020-08-10,140,0,0,0,0
2020-08-11,155,0,0,0,0
2020-08-12,183,0,0,0,0
2020-08-13,148,0,0,0,0
2020-08-14,196,0,0,0,0
2020-08-15,210,0,0,0,0
2020-08-16,150,0,0,0,0
2020-08-17,242,0,0,0,0
2020-08-18,233,0,0,0,0
2020-08-19,194,0,0,0,0
2020-08-20,231,0,0,0,0
2020-08-21,247,0,0,0,0
2020-08-22,267,0,0,0,0
2020-08-23,213,0,0,0,0
2020-08-24,290,0,0,0,0
2020-08-25,297,0,0,0,0
2020-08-26,301,1,0,0,0
2020-08-27,306,0,0,0,0
2020-08-28,281,0,0,0,0
2020-08-29,281,0,0,0,0
2020-08-30,275,0,0,0,0
2020-08-31,295,0,0,0,0
2020-09-01,276,0,0,0,0
2020-09-02,258,2,0,0,0
2020-09-03,259,0,0,0,0
2020-09-04,272,0,0,0,0
2020-09-05,240,0,0,0,0
2020-09-06,182,0,0,0,0
2020-09-07,200,0,0,0,0
2020-09-08,204,1,0,0,0
2020-09-09,229,0,0,0,0
2020-09-10,233,0,0,0,0
2020-09-11,194,0,0,0,0
2020-09-12,221,0,0,0,0
2020-09-13,161,1,0,0,0
2020-09-14,167,1,0,0,0
2020-09-15,185,1,0,0,0
2020-09-16,152,0,0,0,0
2020-09-17,169,0,0,0,0
2020-09-18,187,1,0,0,0
2020-09-19,177,0,0,0,0
2020-09-20,147,0,0,0,0
2020-09-21,244,1,0,0,0
2020-09-22,172,0,0,0,0
2020-09-23,127,2,0,0,0
2020-09-24,167,0,0,0,0
2020-09-25,156,3,0,0,0
2020-09-26,164,1,0,0,0
2020-09-27,148,2,0,0,0
2020-09-28,142,1,0,0,0
2020-09-29,161,1,0,0,0
2020-09-30,149,2,0,0,0
2020-10-01,166,1,0,0,0
2020-10-02,150,3,0,0,0
2020-10-03,128,1,0,0,0
2020-10-04,90,1,0,0,0
2020-10-05,125,4,0,0,0
2020-10-06,118,1,0,0,0
2020-10-07,128,1,0,0,0
2020-10-08,138,3,0,0,0
2020-10-09,129,3,0,0,0
2020-10-10,125,2,0,0,0
2020-10-11,101,2,0,0,0
2020-10-12,99,2,0,0,0
2020-10-13,105,2,0,0,0
2020-10-14,108,2,0,0,0
2020-10-15,112,4,0,0,0
2020-10-16,147,3,0,0,0
2020-10-17,108,0,0,0,0
2020-10-18,123,2,0,0,0
2020-10-19,116,0,0,0,0
2020-10-20,135,3,0,0,0
2020-10-21,121,1,0,0,0
2020-10-22,124,1,0,0,0
2020-10-23,92,6,0,0,0
2020-10-24,123,6,0,0,0
2020-10-25,76,4,0,0,0
2020-10-26,123,5,0,0,0
2020-10-27,114,9,0,0,0
2020-10-28,129,7,0,0,0
2020-10-29,119,3,0,0,0
2020-10-30,118,8,0,0,0
2020-10-31,131,4,0,0,0
2020-11-01,134,7,0,0,0
2020-11-02,142,8,0,0,0
2020-11-03,171,10,0,0,0
2020-11-04,128,7,0,0,0
2020-11-05,135,10,0,0,0
2020-11-06,137,13,0,0,0
2020-11-07,125,23,0,0,0
2020-11-08,101,30,0,0,0
2020-11-09,125,51,0,0,0
2020-11-10,125,38,0,0,0
2020-11-11,128,43,0,0,0
2020-11-12,108,32,0,0,0
2020-11-13,124,41,0,0,0
2020-11-14,116,37,0,0,0
2020-11-15,103,38,0,0,0
2020-11-16,104,45,0,0,0
2020-11-17,131,48,0,0,0
2020-11-18,114,52,0,0,0
2020-11-19,93,36,0,0,0
2020-11-20,108,43,0,0,0
2020-11-21,109,44,0,0,0
2020-11-22,113,37,0,0,0
2020-11-23,128,41,0,0,0
2020-11-24,130,39,0,0,0
2020-11-25,144,42,0,0,0
2020-11-26,130,45,0,0,0
2020-11-27,130,33,0,0,0
2020-11-28,129,49,0,0,0
2020-11-29,138,52,0,0,0
2020-11-30,149,65,0,0,0
2020-12-01,214,62,0,0,0
2020-12-02,174,52,0,0,0
2020-12-03,160,47,0,0,0
2020-12-04,231,46,0,0,0
2020-12-05,178,44,0,0,0
2020-12-06,174,46,0,0,0
2020-12-07,202,59,0,0,0
2020-12-08,150,56,0,0,0
2020-12-09,205,74,0,0,0
2020-12-10,207,61,0,0,0
2020-12-11,206,69,0,0,0
2020-12-12,237,68,0,0,0
2020-12-13,184,59,0,0,0
2020-12-14,196,78,0,0,0
2020-12-15,269,72,0,0,0
2020-12-16,215,56,0,0,0
