fecha,casos,TAR,muertes,vacunados_1,vacunados_2
2020-01-01,1,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,1,0,0,0,0
2020-01-11,1,0,0,0,0
2020-01-12,1,0,0,0,0
2020-01-13,2,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,1,0,0,0,0
2020-01-16,1,0,0,0,0
2020-01-17,1,0,0,0,0
2020-01-18,2,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,3,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,2,0,0,0,0
2020-01-24,1,0,0,0,0
2020-01-25,1,0,0,0,0
2020-01-26,1,0,0,0,0
2020-01-27,1,0,0,0,0
2020-01-28,1,0,0,0,0
2020-01-29,2,0,0,0,0
2020-01-30,1,0,0,0,0
2020-01-31,3,0,0,0,0
2020-02-01,8,0,0,0,0
2020-02-02,6,0,0,0,0
2020-02-03,7,0,0,0,0
2020-02-04,2,0,0,0,0
2020-02-05,4,0,0,0,0
2020-02-06,5,0,0,0,0
2020-02-07,10,0,0,0,0
2020-02-08,8,0,0,0,0
2020-02-09,2,0,0,0,0
2020-02-10,11,0,0,0,0
2020-02-11,7,0,0,0,0
2020-02-12,10,0,0,0,0
2020-02-13,15,0,0,0,0
2020-02-14,11,0,0,0,0
2020-02-15,13,0,0,0,0
2020-02-16,14,0,0,0,0
2020-02-17,19,0,0,0,0
2020-02-18,14,0,0,0,0
2020-02-19,12,0,0,0,0
2020-02-20,25,0,0,0,0
2020-02-21,26,0,0,0,0
2020-02-22,29,0,0,0,0
2020-02-23,44,0,0,0,0
2020-02-24,57,0,0,0,0
2020-02-25,51,0,0,0,0
2020-02-26,67,0,0,0,0
2020-02-27,94,0,0,0,0
2020-02-28,158,0,0,0,0
2020-02-29,109,0,0,0,0
2020-03-01,328,0,0,0,0
2020-03-02,387,0,0,0,0
2020-03-03,406,0,0,0,0
2020-03-04,472,1,0,0,0
2020-03-05,667,0,0,0,0
2020-03-06,806,0,0,0,0
2020-03-07,864,0,0,0,0
2020-03-08,1085,0,0,0,0
2020-03-09,1537,0,0,0,0
2020-03-10,2053,0,0,0,0
2020-03-11,1990,0,0,0,0
2020-03-12,2386,1,0,0,0
2020-03-13,2888,0,0,0,0
2020-03-14,2617,0,0,0,0
2020-03-15,2729,1,0,0,0
2020-03-16,3004,0,0,0,0
2020-03-17,2951,0,0,0,0
2020-03-18,2748,0,0,0,0
2020-03-19,2556,1,0,0,0
2020-03-20,3213,0,0,0,0
2020-03-21,2017,1,0,0,0
2020-03-22,1699,0,0,0,0
2020-03-23,2194,0,0,0,0
2020-03-24,2083,0,0,0,0
2020-03-25,1834,0,0,0,0
2020-03-26,1617,0,0,0,0
2020-03-27,1547,1,0,0,0
2020-03-28,1274,0,0,0,0
2020-03-29,900,0,0,0,0
2020-03-30,1142,1,0,0,0
2020-03-31,1128,0,0,0,0
2020-04-01,1392,0,0,0,0
2020-04-02,1044,1,0,0,0
2020-04-03,955,0,0,0,0
2020-04-04,751,0,0,0,0
2020-04-05,671,1,0,0,0
2020-04-06,650,0,0,0,0
2020-04-07,767,1,0,0,0
2020-04-08,713,5,0,0,0
2020-04-09,655,1,0,0,0
2020-04-10,730,0,0,0,0
2020-04-11,600,1,0,0,0
2020-04-12,512,0,0,0,0
2020-04-13,400,2,0,0,0
2020-04-14,515,1,0,0,0
2020-04-15,505,0,0,0,0
2020-04-16,601,1,0,0,0
2020-04-17,405,0,0,0,0
2020-04-18,484,1,0,0,0
2020-04-19,270,2,0,0,0
2020-04-20,297,2,0,0,0
2020-04-21,487,1,0,0,0
2020-04-22,472,0,0,0,0
2020-04-23,371,0,0,0,0
2020-04-24,262,1,0,0,0
2020-04-25,141,1,0,0,0
2020-04-26,129,0,0,0,0
2020-04-27,218,2,0,0,0
2020-04-28,270,2,0,0,0
2020-04-29,225,1,0,0,0
2020-04-30,197,2,0,0,0
2020-05-01,207,2,0,0,0
2020-05-02,186,3,0,0,0
2020-05-03,81,1,0,0,0
2020-05-04,121,3,0,0,0
2020-05-05,68,4,0,0,0
2020-05-06,60,2,0,0,0
2020-05-07,91,2,0,0,0
2020-05-08,75,6,0,0,0
2020-05-09,65,5,0,0,0
2020-05-10,72,6,0,0,0
2020-05-11,213,17,0,0,0
2020-05-12,166,11,0,0,0
2020-05-13,171,11,0,0,0
2020-05-14,180,7,0,0,0
2020-05-15,139,5,0,0,0
2020-05-16,61,5,0,0,0
2020-05-17,100,9,0,0,0
2020-05-18,168,16,0,0,0
2020-05-19,154,11,0,0,0
2020-05-20,126,11,0,0,0
2020-05-21,128,6,0,0,0
2020-05-22,106,8,0,0,0
2020-05-23,64,9,0,0,0
2020-05-24,67,10,0,0,0
2020-05-25,174,15,0,0,0
2020-05-26,176,7,0,0,0
2020-05-27,118,11,0,0,0
2020-05-28,134,3,0,0,0
2020-05-29,135,10,0,0,0
2020-05-30,72,9,0,0,0
2020-05-31,84,11,0,0,0
2020-06-01,184,20,0,0,0
2020-06-02,133,14,0,0,0
2020-06-03,164,9,0,0,0
2020-06-04,133,11,0,0,0
2020-06-05,156,9,0,0,0
2020-06-06,92,10,0,0,0
2020-06-07,87,16,0,0,0
2020-06-08,169,20,0,0,0
2020-06-09,132,12,0,0,0
2020-06-10,132,6,0,0,0
2020-06-11,120,16,0,0,0
2020-06-12,143,5,0,0,0
2020-06-13,32,4,0,0,0
2020-06-14,54,8,0,0,0
2020-06-15,126,4,0,0,0
2020-06-16,59,0,0,0,0
2020-06-17,71,0,0,0,0
2020-06-18,73,3,0,0,0
2020-06-19,61,2,0,0,0
2020-06-20,47,0,0,0,0
2020-06-21,33,1,0,0,0
2020-06-22,41,2,0,0,0
2020-06-23,49,1,0,0,0
2020-06-24,41,1,0,0,0
2020-06-25,57,2,0,0,0
2020-06-26,56,1,0,0,0
2020-06-27,30,2,0,0,0
2020-06-28,29,0,0,0,0
2020-06-29,53,2,0,0,0
2020-06-30,63,4,0,0,0
2020-07-01,70,7,0,0,0
2020-07-02,54,0,0,0,0
2020-07-03,84,6,0,0,0
2020-07-04,37,2,0,0,0
2020-07-05,44,9,0,0,0
2020-07-06,80,5,0,0,0
2020-07-07,79,11,0,0,0
2020-07-08,116,11,0,0,0
2020-07-09,104,13,0,0,0
2020-07-10,96,14,0,0,0
2020-07-11,71,11,0,0,0
2020-07-12,84,11,0,0,0
2020-07-13,146,19,0,0,0
2020-07-14,146,14,0,0,0
2020-07-15,153,11,0,0,0
2020-07-16,130,9,0,0,0
2020-07-17,183,8,0,0,0
2020-07-18,143,13,0,0,0
2020-07-19,149,15,0,0,0
2020-07-20,240,23,0,0,0
2020-07-21,270,15,0,0,0
2020-07-22,267,19,0,0,0
2020-07-23,252,11,0,0,0
2020-07-24,378,15,0,0,0
2020-07-25,312,11,0,0,0
2020-07-26,280,16,0,0,0
2020-07-27,544,22,0,0,0
2020-07-28,623,20,0,0,0
2020-07-29,543,16,0,0,0
2020-07-30,582,18,0,0,0
2020-07-31,728,7,0,0,0
2020-08-01,693,14,0,0,0
2020-08-02,611,13,0,0,0
2020-08-03,1003,28,0,0,0
2020-08-04,1145,21,0,0,0
2020-08-05,1133,17,0,0,0
2020-08-06,1123,14,0,0,0
2020-08-07,1406,23,0,0,0
2020-08-08,1039,12,0,0,0
2020-08-09,984,21,0,0,0
2020-08-10,1560,39,0,0,0
2020-08-11,1970,20,0,0,0
2020-08-12,1792,9,0,0,0
2020-08-13,1737,15,0,0,0
2020-08-14,2248,10,0,0,0
2020-08-15,1221,11,0,0,0
2020-08-16,962,7,0,0,0
2020-08-17,1546,4,0,0,0
2020-08-18,2702,2,0,0,0
2020-08-19,2877,3,0,0,0
2020-08-20,2629,1,0,0,0
2020-08-21,3828,2,0,0,0
2020-08-22,1558,6,0,0,0
2020-08-23,1116,1,0,0,0
2020-08-24,1841,6,0,0,0
2020-08-25,3728,6,0,0,0
2020-08-26,3113,9,0,0,0
2020-08-27,3189,11,0,0,0
2020-08-28,4367,17,0,0,0
2020-08-29,1754,13,0,0,0
2020-08-30,1586,15,0,0,0
2020-08-31,2163,25,0,0,0
2020-09-01,4268,34,0,0,0
2020-09-02,3884,41,0,0,0
2020-09-03,3827,31,0,0,0
2020-09-04,4586,25,0,0,0
2020-09-05,2658,26,0,0,0
2020-09-06,2313,20,0,0,0
2020-09-07,3089,38,0,0,0
2020-09-08,4560,33,0,0,0
2020-09-09,4862,40,0,0,0
2020-09-10,4293,28,0,0,0
2020-09-11,5189,31,0,0,0
2020-09-12,3156,35,0,0,0
2020-09-13,2453,35,0,0,0
2020-09-14,3564,44,0,0,0
2020-09-15,4773,23,0,0,0
2020-09-16,4405,16,0,0,0
2020-09-17,4398,10,0,0,0
2020-09-18,6625,22,0,0,0
2020-09-19,2374,23,0,0,0
2020-09-20,1936,34,0,0,0
2020-09-21,3123,78,0,0,0
2020-09-22,5347,105,0,0,0
2020-09-23,4764,123,0,0,0
2020-09-24,4363,163,0,0,0
2020-09-25,4958,183,0,0,0
2020-09-26,2163,178,0,0,0
2020-09-27,1807,185,0,0,0
2020-09-28,2925,387,0,0,0
2020-09-29,3826,410,0,0,0
2020-09-30,3039,535,0,0,0
2020-10-01,2878,611,0,0,0
2020-10-02,3107,760,0,0,0
2020-10-03,1871,615,0,0,0
2020-10-04,1558,647,0,0,0
